date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
01/01/2018,8.3,4.1,12.2,3.5,0,220.3,22.3,60.5,1000.6,94
02/01/2018,4.4,2.6,5.8,2,0,241.8,12.2,38.9,1005.9,0
03/01/2018,5.2,2.5,7.4,12.9,0,195.9,27.7,69.8,990.1,39
04/01/2018,6.6,5.7,7.8,2.1,0,231.6,27.4,70.9,992.5,1
05/01/2018,6.5,3.2,8.7,0,0,235.6,21.2,68.4,995.7,21
06/01/2018,4.7,1.8,7.8,0,0,246.1,9.4,29.2,1008.8,132
07/01/2018,1.2,-2.5,3.9,0,0,43,12.2,35.3,1028.5,2
08/01/2018,-1.6,-4.5,1.7,0,0,68.8,13,40.7,1033.8,372
09/01/2018,2.3,-1.8,5.1,0,0,100.9,21.2,45,1020.5,104
10/01/2018,2.8,1.7,5.1,0,0,112.2,7.6,20.5,1013.6,80
11/01/2018,2.1,0.9,3.2,4.1,0,25.8,5,18.4,1017.5,0
12/01/2018,1.5,0.7,2,0,0,82.1,13,35.6,1028.5,0
13/01/2018,0.3,-0.2,0.8,0,0,108.3,22.3,46.4,1032.3,18
14/01/2018,-1.5,-3.1,0.3,0,0,106.3,18,37.1,1029.6,116
15/01/2018,0.5,-2.4,3.6,3.8,0,143.8,22.3,48.6,1015.1,273
16/01/2018,2.8,0.3,5.5,2.8,10,207.1,20.9,48.2,991.3,58
17/01/2018,1.2,-0.2,2.1,2.4,0,246,18.7,39.6,994.8,2
18/01/2018,2.4,0.7,5.7,6.9,0,230.6,26.3,75.2,993.5,0
19/01/2018,2.4,0.7,3.6,0.2,0,257.9,12.2,28.4,1005.1,0
20/01/2018,1.4,-0.6,3.1,0,0,189.4,9,22.3,1006.2,36
21/01/2018,0.2,-0.8,1,0,0,40.8,6.5,25.9,1013,0
22/01/2018,0.5,-0.3,2,0,0,143,17.6,38.9,1012.8,10
23/01/2018,2.4,0,5.7,1.1,0,183.5,9,27.7,1020.5,0
24/01/2018,8.7,5,11.2,0.1,0,202.5,19.4,40.7,1016.3,136
25/01/2018,9.1,7.6,11,9.9,0,211,14,43.2,1013.3,0
26/01/2018,6.8,5.6,7.6,1.2,0,259,5,14.8,1017.8,0
27/01/2018,5.6,4.9,6.9,0.2,0,246.8,11.5,38.2,1029.1,44
28/01/2018,7.4,5.3,9.2,1.3,0,241.5,29.2,53.6,1023.4,18
29/01/2018,9.2,5,11,2.4,0,255.7,33.5,72.4,1018.2,0
30/01/2018,4.4,1.6,6.1,0,0,269.3,22,54.4,1023.5,0
31/01/2018,5.4,1.1,9.2,7.6,0,198.3,18.4,50.8,1007.7,0
01/02/2018,3.7,1.4,6.3,0,0,232.8,16.6,38.9,1000,321
02/02/2018,2.5,-0.6,5.1,0.8,0,202.8,15.8,34.6,1002.8,127
